N,T,Algorithm,workTime,GFLOPS,speedup,efficiency,overhead,overhead%
512,1,matrices,0.487664,0.550452,1.000000,100.000000,0.000000,0.000000
512,1,pthread,0.485223,0.553221,1.000000,100.000000,0.000000,0.000000
512,1,openmp,0.484865,0.553629,1.000000,100.000000,0.000000,0.000000
512,2,pthread,0.247083,1.086418,1.969355,98.467742,0.003786,1.532258
512,2,openmp,0.243589,1.102002,1.995678,99.783888,0.000526,0.216112
512,4,pthread,0.125100,2.145765,3.889636,97.240902,0.003452,2.759098
512,4,openmp,0.124302,2.159540,3.910833,97.770836,0.002771,2.229164
512,8,pthread,0.066920,4.011286,7.271275,90.890932,0.006096,9.109068
512,8,openmp,0.064816,4.141500,7.500077,93.750967,0.004050,6.249033
1024,1,matrices,3.916678,0.548292,1.000000,100.000000,0.000000,0.000000
1024,1,pthread,3.896305,0.551159,1.000000,100.000000,0.000000,0.000000
1024,1,openmp,3.904132,0.550054,1.000000,100.000000,0.000000,0.000000
1024,2,pthread,1.953608,1.099240,1.996699,99.834970,0.003224,0.165030
1024,2,openmp,1.965096,1.092814,1.982445,99.122257,0.017248,0.877743
1024,4,pthread,0.985239,2.179658,3.959210,98.980245,0.010047,1.019755
1024,4,openmp,0.985412,2.179275,3.953366,98.834156,0.011488,1.165844
1024,8,pthread,0.500572,4.290060,7.792622,97.407772,0.012976,2.592228
1024,8,openmp,0.498380,4.308929,7.816717,97.708963,0.011418,2.291037
2048,1,matrices,32.468814,0.529119,1.000000,100.000000,0.000000,0.000000
2048,1,pthread,31.239283,0.549944,1.000000,100.000000,0.000000,0.000000
2048,1,openmp,31.188166,0.550846,1.000000,100.000000,0.000000,0.000000
2048,2,pthread,15.759556,1.090124,2.050162,102.508122,-0.395269,-2.508122
2048,2,openmp,15.614613,1.100243,2.051383,102.569143,-0.401162,-2.569143
2048,4,pthread,7.883772,2.179143,4.098248,102.456192,-0.193641,-2.456192
2048,4,openmp,7.877809,2.180793,4.066048,101.651198,-0.130078,-1.651198
2048,8,pthread,3.979818,4.316747,8.118374,101.479669,-0.058888,-1.479669
2048,8,openmp,3.979545,4.317044,8.049048,100.613104,-0.024399,-0.613104
4096,1,matrices,256.832095,0.535132,1.000000,100.000000,0.000000,0.000000
4096,1,pthread,253.500033,0.542165,1.000000,100.000000,0.000000,0.000000
4096,1,openmp,254.236991,0.540594,1.000000,100.000000,0.000000,0.000000
4096,2,pthread,127.510308,1.077865,1.993758,99.687879,0.397987,0.312121
4096,2,openmp,127.683142,1.076406,1.995698,99.784919,0.274622,0.215081
4096,4,pthread,64.018352,2.146868,3.971121,99.278033,0.462192,0.721967
4096,4,openmp,64.047382,2.145895,3.978571,99.464268,0.343122,0.535732
4096,8,pthread,32.889598,4.178797,7.729637,96.620458,1.111518,3.379542
4096,8,openmp,32.818211,4.187887,7.764501,97.056265,0.966081,2.943735
