N,T,Algorithm,workTime,GFLOPS,speedup,efficiency,overhead,overhead%
512,1,openmp,0.484865,0.553629,1.000000,100.000000,0.000000,0.000000
512,2,openmp,0.243589,1.102002,1.995678,99.783888,0.000526,0.216112
512,4,openmp,0.124302,2.159540,3.910833,97.770836,0.002771,2.229164
512,8,openmp,0.064816,4.141500,7.500077,93.750967,0.004050,6.249033
1024,1,openmp,3.904132,0.550054,1.000000,100.000000,0.000000,0.000000
1024,2,openmp,1.965096,1.092814,1.982445,99.122257,0.017248,0.877743
1024,4,openmp,0.985412,2.179275,3.953366,98.834156,0.011488,1.165844
1024,8,openmp,0.498380,4.308929,7.816717,97.708963,0.011418,2.291037
2048,1,openmp,31.188166,0.550846,1.000000,100.000000,0.000000,0.000000
2048,2,openmp,15.614613,1.100243,2.051383,102.569143,-0.401162,-2.569143
2048,4,openmp,7.877809,2.180793,4.066048,101.651198,-0.130078,-1.651198
2048,8,openmp,3.979545,4.317044,8.049048,100.613104,-0.024399,-0.613104
4096,1,openmp,254.236991,0.540594,1.000000,100.000000,0.000000,0.000000
4096,2,openmp,127.683142,1.076406,1.995698,99.784919,0.274622,0.215081
4096,4,openmp,64.047382,2.145895,3.978571,99.464268,0.343122,0.535732
4096,8,openmp,32.818211,4.187887,7.764501,97.056265,0.966081,2.943735
