N,T,Algorithm,workTime,GFLOPS,speedup,efficiency,overhead,overhead%
512,1,pthread,0.485223,0.553221,1.000000,100.000000,0.000000,0.000000
512,2,pthread,0.247083,1.086418,1.969355,98.467742,0.003786,1.532258
512,4,pthread,0.125100,2.145765,3.889636,97.240902,0.003452,2.759098
512,8,pthread,0.066920,4.011286,7.271275,90.890932,0.006096,9.109068
1024,1,pthread,3.896305,0.551159,1.000000,100.000000,0.000000,0.000000
1024,2,pthread,1.953608,1.099240,1.996699,99.834970,0.003224,0.165030
1024,4,pthread,0.985239,2.179658,3.959210,98.980245,0.010047,1.019755
1024,8,pthread,0.500572,4.290060,7.792622,97.407772,0.012976,2.592228
2048,1,pthread,31.239283,0.549944,1.000000,100.000000,0.000000,0.000000
2048,2,pthread,15.759556,1.090124,2.050162,102.508122,-0.395269,-2.508122
2048,4,pthread,7.883772,2.179143,4.098248,102.456192,-0.193641,-2.456192
2048,8,pthread,3.979818,4.316747,8.118374,101.479669,-0.058888,-1.479669
4096,1,pthread,253.500033,0.542165,1.000000,100.000000,0.000000,0.000000
4096,2,pthread,127.510308,1.077865,1.993758,99.687879,0.397987,0.312121
4096,4,pthread,64.018352,2.146868,3.971121,99.278033,0.462192,0.721967
4096,8,pthread,32.889598,4.178797,7.729637,96.620458,1.111518,3.379542
