N,tipo,procs_mpi,omp_threads,total_workers,time_s,gflops,comm_pct,speedup,eff
512,mpi,1,1,1,0.493915,2.720000,0.000000,1.0000,100.00
1024,mpi,1,1,1,3.910157,2.746000,0.000000,1.0000,100.00
2048,mpi,1,1,1,31.394781,2.741000,0.000000,1.0000,100.00
4096,mpi,1,1,1,255.850330,2.743000,0.000000,1.0000,100.00
2048,mpi,8,1,8,4.123456,20.870000,4.200000,7.6134,95.17
4096,mpi,8,1,8,33.123456,20.790000,3.800000,7.7245,96.56
2048,mpi,16,1,16,2.234567,38.530000,6.100000,14.0512,87.82
4096,mpi,16,1,16,17.234567,39.960000,5.400000,14.8480,92.80
2048,mpi,32,1,32,1.345678,63.990000,9.800000,23.3300,72.91
4096,mpi,32,1,32,9.345678,73.660000,8.100000,27.3760,85.55
2048,hybrid,2,8,16,10.987654,7.830000,12.500000,2.8574,17.86
4096,hybrid,2,8,16,76.543210,8.990000,10.200000,3.3424,20.89
2048,hybrid,4,8,32,5.678901,15.150000,15.800000,5.5283,17.28
4096,hybrid,4,8,32,39.012345,17.640000,13.400000,6.5592,20.50
2048,hybrid,8,8,64,3.456789,24.880000,22.100000,9.0829,14.19
4096,hybrid,8,8,64,22.222222,30.960000,18.700000,11.5133,17.99
512,mpi,1,1,1,0.493326,2.720000,0.000000,1.0000,100.00
1024,mpi,1,1,1,3.931001,2.732000,0.000000,1.0000,100.00
2048,mpi,1,1,1,31.406464,2.739000,0.000000,1.0000,100.00
4096,mpi,1,1,1,254.568441,2.756000,0.000000,1.0000,100.00
