,,gflops,gflops,gflops,gflops,gflops,tiempo_seg,tiempo_seg,tiempo_seg,tiempo_seg
,,mean,std,min,max,count,mean,std,min,max
block_size,optimization,,,,,,,,,
32,-O3,0.4746,0.0041,0.4691,0.479,4,82.0365,137.5251,0.5723,286.9403
32,-O3 -fopenmp,0.4771,0.0036,0.4718,0.4797,4,81.8989,137.4551,0.5689,286.7203
32,-O3 -funroll-loops,0.6096,0.0023,0.6066,0.6119,4,64.1733,107.6651,0.4425,224.5983
32,-O3 -march=native,0.4768,0.0019,0.475,0.4793,4,81.9975,137.4428,0.5624,286.7745
64,-O3,0.5005,0.0099,0.4905,0.5146,8,79.4924,124.0052,0.5282,280.2207
64,-O3 -funroll-loops,0.6393,0.0014,0.6378,0.6409,4,61.4444,103.1786,0.4209,215.1956
64,-O3 -march=native,0.5054,0.0053,0.4976,0.5088,4,78.7043,132.5257,0.5289,276.2313
