archivo_origen,resultado,cant_entrada,tiempo_salida,gflops
./bs32-local/gcc/log1024.txt,RESULT,1024,10.707195,0.200565
./bs32-local/gcc/log2048.txt,RESULT,2048,57.210749,0.300291
./bs32-local/gcc/log4096.txt,RESULT,4096,498.927345,0.275469
./bs32-local/gcc/log512.txt,RESULT,512,1.326632,0.202344
./bs32-local/gccO1/log1024.txt,RESULT,1024,2.589220,0.829394
./bs32-local/gccO1/log2048.txt,RESULT,2048,20.018632,0.858194
./bs32-local/gccO1/log4096.txt,RESULT,4096,160.669154,0.855416
./bs32-local/gccO1/log512.txt,RESULT,512,0.388762,0.690488
./bs32-local/gccO2/log1024.txt,RESULT,1024,2.742146,0.783140
./bs32-local/gccO2/log2048.txt,RESULT,2048,17.058460,1.007117
./bs32-local/gccO2/log4096.txt,RESULT,4096,137.154423,1.002075
./bs32-local/gccO2/log512.txt,RESULT,512,0.358391,0.749002
./bs32-local/gccO3/log1024.txt,RESULT,1024,2.539331,0.845689
./bs32-local/gccO3/log2048.txt,RESULT,2048,16.205636,1.060117
./bs32-local/gccO3/log4096.txt,RESULT,4096,132.436574,1.037772
./bs32-local/gccO3/log512.txt,RESULT,512,0.392437,0.684022
./bs64-local/gcc/log1024.txt,RESULT,1024,11.148406,0.192627
./bs64-local/gcc/log2048.txt,RESULT,2048,68.339129,0.251391
./bs64-local/gcc/log4096.txt,RESULT,4096,539.140666,0.254922
./bs64-local/gcc/log512.txt,RESULT,512,1.475343,0.181948
./bs64-local/gccO1/log1024.txt,RESULT,1024,2.821943,0.760995
./bs64-local/gccO1/log2048.txt,RESULT,2048,20.210035,0.850066
./bs64-local/gccO1/log4096.txt,RESULT,4096,190.427831,0.721738
./bs64-local/gccO1/log512.txt,RESULT,512,0.448064,0.599101
./bs64-local/gccO2/log1024.txt,RESULT,1024,3.069043,0.699724
./bs64-local/gccO2/log2048.txt,RESULT,2048,22.027336,0.779934
./bs64-local/gccO2/log4096.txt,RESULT,4096,154.492910,0.889613
./bs64-local/gccO2/log512.txt,RESULT,512,0.386192,0.695083
./bs64-local/gccO3/log1024.txt,RESULT,1024,2.964046,0.724511
./bs64-local/gccO3/log2048.txt,RESULT,2048,20.290510,0.846695
./bs64-local/gccO3/log4096.txt,RESULT,4096,137.990621,0.996002
./bs64-local/gccO3/log512.txt,RESULT,512,0.412131,0.651335
