algoritmo,procesos,N,tiempo_total,tiempo_comunicacion,speedup,eficiencia
mpi-matmul,1,1024,5.475528,0.000001,,
mpi-matmul,1,2048,42.755767,0.000001,,
mpi-matmul,1,512,0.593974,0.000001,,
mpi-matmul,2,1024,2.995647,0.014328,1.827828,.913914
mpi-matmul,2,2048,24.766748,0.051915,1.726337,.863168
mpi-matmul,2,512,0.334262,0.003498,1.776971,.888485
mpi-matmul,4,1024,1.880629,0.114889,2.911540,.727885
mpi-matmul,4,2048,15.853700,0.234802,2.696895,.674223
mpi-matmul,4,512,0.204214,0.007737,2.908586,.727146
blocking-ring,16,10000000,,2.401153,,
blocking-ring,16,20000000,,,,
blocking-ring,2,10000000,,0.120513,,
blocking-ring,2,20000000,,0.218330,,
blocking-ring,4,10000000,,0.252985,,
blocking-ring,4,20000000,,0.465583,,
blocking-ring,8,10000000,,0.646305,,
blocking-ring,8,20000000,,1.520949,,
non-blocking-ring,16,10000000,,,,
non-blocking-ring,16,20000000,,,,
non-blocking-ring,2,10000000,,0.094813,,
non-blocking-ring,2,20000000,,0.220851,,
non-blocking-ring,4,10000000,,0.174307,,
non-blocking-ring,4,20000000,,0.545831,,
non-blocking-ring,8,10000000,,1.383601,,
non-blocking-ring,8,20000000,,0.343565,,
